CourseID,CourseName,DepartmentID,Level,CreditUnit
ARC10001,ARC - Deliver Cutting-Edge Action-Items,DEPT_001,100,1
ARC10002,ARC - Engage Integrated Vortals,DEPT_001,100,4
ARC10003,ARC - Unleash Wireless Niches,DEPT_001,100,3
ARC10004,ARC - Re-Contextualize Virtual Functionalities,DEPT_001,100,4
ARC10005,ARC - Generate End-To-End Synergies,DEPT_001,100,2
ARC20001,ARC - Matrix Customized Channels,DEPT_001,200,2
ARC20002,ARC - Re-Intermediate Enterprise E-Tailers,DEPT_001,200,1
ARC20003,ARC - Integrate Dynamic Platforms,DEPT_001,200,2
ARC20004,ARC - E-Enable Bleeding-Edge Experiences,DEPT_001,200,2
ARC20005,ARC - Benchmark Dynamic Applications,DEPT_001,200,4
ARC30001,ARC - Re-Contextualize Real-Time Experiences,DEPT_001,300,4
ARC30002,ARC - Streamline Customized Communities,DEPT_001,300,4
ARC30003,ARC - Deliver Mission-Critical E-Tailers,DEPT_001,300,4
ARC30004,ARC - Orchestrate Viral Metrics,DEPT_001,300,2
ARC30005,ARC - Deliver Out-Of-The-Box Deliverables,DEPT_001,300,4
ARC40001,ARC - Utilize Granular Convergence,DEPT_001,400,1
ARC40002,ARC - Expedite Out-Of-The-Box E-Services,DEPT_001,400,1
ARC40003,ARC - Visualize Dynamic Eyeballs,DEPT_001,400,3
ARC40004,ARC - Re-Contextualize E-Business E-Business,DEPT_001,400,3
ARC40005,ARC - Extend Dynamic Models,DEPT_001,400,2
ARC50001,ARC - Scale Bricks-And-Clicks Applications,DEPT_001,500,4
ARC50002,ARC - Monetize Visionary Users,DEPT_001,500,4
ARC50003,ARC - Syndicate Transparent Niches,DEPT_001,500,4
ARC50004,ARC - Strategize Transparent Methodologies,DEPT_001,500,2
ARC50005,ARC - Reinvent Virtual Experiences,DEPT_001,500,2
ESM10001,ESM - Grow Collaborative Synergies,DEPT_002,100,4
ESM10002,ESM - Empower Front-End Info-Mediaries,DEPT_002,100,3
ESM10003,ESM - Enable Best-Of-Breed Deliverables,DEPT_002,100,2
ESM10004,ESM - Exploit Ubiquitous E-Business,DEPT_002,100,2
ESM10005,ESM - Benchmark Cross-Platform Experiences,DEPT_002,100,2
ESM20001,ESM - Grow Revolutionary Action-Items,DEPT_002,200,3
ESM20002,ESM - Productize Out-Of-The-Box Mindshare,DEPT_002,200,3
ESM20003,ESM - Repurpose Compelling Paradigms,DEPT_002,200,4
ESM20004,ESM - Re-Contextualize Dot-Com Markets,DEPT_002,200,1
ESM20005,ESM - Synergize End-To-End Synergies,DEPT_002,200,1
ESM30001,ESM - Empower Seamless Portals,DEPT_002,300,4
ESM30002,ESM - Expedite Plug-And-Play Partnerships,DEPT_002,300,2
ESM30003,ESM - Orchestrate E-Business Roi,DEPT_002,300,2
ESM30004,ESM - Extend B2C Experiences,DEPT_002,300,3
ESM30005,ESM - Target Cross-Media Communities,DEPT_002,300,4
ESM40001,ESM - Orchestrate Extensible Paradigms,DEPT_002,400,4
ESM40002,ESM - Matrix Visionary Communities,DEPT_002,400,4
ESM40003,ESM - Exploit Granular Users,DEPT_002,400,1
ESM40004,ESM - Whiteboard Dot-Com E-Markets,DEPT_002,400,3
ESM40005,ESM - Strategize Dot-Com E-Tailers,DEPT_002,400,4
ESM50001,ESM - Deploy Rich Channels,DEPT_002,500,4
ESM50002,ESM - Target Virtual Networks,DEPT_002,500,4
ESM50003,ESM - Repurpose Dot-Com Communities,DEPT_002,500,4
ESM50004,ESM - Streamline Cutting-Edge Mindshare,DEPT_002,500,4
ESM50005,ESM - Matrix Rich Schemas,DEPT_002,500,1
QS10001,QS - Visualize End-To-End Solutions,DEPT_003,100,2
QS10002,QS - Transform Next-Generation Synergies,DEPT_003,100,4
QS10003,QS - Re-Intermediate B2C Channels,DEPT_003,100,2
QS10004,QS - Orchestrate Viral Channels,DEPT_003,100,4
QS10005,QS - Re-Intermediate Integrated Deliverables,DEPT_003,100,1
QS20001,QS - Visualize Seamless Content,DEPT_003,200,2
QS20002,QS - Cultivate Dynamic Mindshare,DEPT_003,200,1
QS20003,QS - Evolve Killer Models,DEPT_003,200,4
QS20004,QS - Utilize One-To-One Applications,DEPT_003,200,4
QS20005,QS - Drive Intuitive E-Markets,DEPT_003,200,4
QS30001,QS - Visualize Collaborative Supply-Chains,DEPT_003,300,1
QS30002,QS - Incentivize Open-Source E-Markets,DEPT_003,300,4
QS30003,QS - Enable Wireless Roi,DEPT_003,300,2
QS30004,QS - Iterate Dot-Com Metrics,DEPT_003,300,3
QS30005,QS - Integrate Impactful Initiatives,DEPT_003,300,4
QS40001,QS - Deliver Real-Time Infrastructures,DEPT_003,400,2
QS40002,QS - Orchestrate Collaborative Relationships,DEPT_003,400,3
